"ANO";"Regiao";"SIGLA";"UF";"Dependencia_Administrativa";"Localizacao";"Situacao_Funcionamento";"Fundamental_Nº_Matriculas";"Fundamental_Nº_Turmas";"Fundamental_Nº_Docentes";"Fundamental_Nº_Aprovados";"Fundamental_Nº_Reprovados";"Fundamental_Nº_Abandonos";"Medio_Nº_Matriculas";"Medio_Nº_Turmas";"Medio_Nº_Docentes";"Medio_Nº_Aprovados";"Medio_Nº_Reprovados";"Medio_Nº_Abandonos";"Nº_Escolas"
1996;"Nordeste";"BA";"Bahia";"Municipal";"Rural";"Em Atividade";767102;13964;1260;403802;146499;113796;1899;87;156;1023;76;230;19175
1996;"Nordeste";"BA";"Bahia";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Nordeste";"BA";"Bahia";"Municipal";"Rural";"Paralisada";0;0;1260;9;0;1;0;0;156;0;0;0;14
1996;"Nordeste";"BA";"Bahia";"Municipal";"Urbana";"Em Atividade";546110;17066;1260;304510;91559;80735;45699;1297;156;28466;3696;6156;2014
1996;"Nordeste";"BA";"Bahia";"Municipal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;4
1996;"Nordeste";"BA";"Bahia";"Municipal";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"BA";"Bahia";"Privada";"Rural";"Em Atividade";7310;251;1260;4604;1009;609;965;43;156;603;48;39;87
1996;"Nordeste";"BA";"Bahia";"Privada";"Urbana";"Em Atividade";251203;10757;1260;196914;25173;8575;56777;1705;156;41879;5305;3818;1691
1996;"Nordeste";"BA";"Bahia";"Privada";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Nordeste";"BA";"Bahia";"Privada";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Nordeste";"CE";"Ceará";"Estadual";"Rural";"Em Atividade";14213;518;1260;7945;1606;1553;698;21;156;355;18;85;122
1996;"Nordeste";"CE";"Ceará";"Estadual";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Nordeste";"CE";"Ceará";"Estadual";"Rural";"Paralisada";0;0;1260;35;13;10;0;0;156;0;0;0;4
1996;"Nordeste";"CE";"Ceará";"Estadual";"Urbana";"Em Atividade";511446;14874;1260;311911;50607;58869;87245;1883;156;52247;6788;17961;758
1996;"Nordeste";"CE";"Ceará";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;62
